V/OmegaR,theta0.75R,DeltaCQ,lambda2,lambda1(T),lambda1(Q),QC
0,10.19,-,0,1.05,-,E: DeltaCQ missing (torque gauge)
.0096,10.18,-,.20,1.24,-,E: DeltaCQ missing
.0161,10.18,-,.33,1.38,-,E: DeltaCQ missing
.0210,10.02,-,.43,1.44,-,E: DeltaCQ missing
.0271,10.02,-,.55,1.56,-,E: DeltaCQ missing
.0364,10.14,-,.74,1.78,-,E: DeltaCQ missing
.0496,10.41,-,1.01,2.11,-,E: DeltaCQ missing
.0535,10.22,-,1.09,2.15,-,E: DeltaCQ missing
.0569,10.14,-,1.16,2.20,-,E: DeltaCQ missing
.0602,10.14,-,1.23,2.27,-,E: DeltaCQ missing
.0629,9.98,-,1.28,2.28,-,E: DeltaCQ missing
.0662,9.98,-,1.35,2.35,-,E: DeltaCQ missing
.0695,9.84,-,1.42,2.39,-,E: DeltaCQ missing
.0745,10.22,-,1.52,2.58,-,E: DeltaCQ missing
.0765,9.35,0.000172,1.56,2.42,-,
.0801,6.58,.000146,1.63,1.84,1.98,
.0819,6.45,.000130,1.71,1.89,1.88,
.0883,5.22,.000094,1.80,1.70,2.09,
.0940,4.77,.000038,1.92,1.71,1.77,
.1032,3.39,-.000060,2.11,1.58,1.54,
