theta0.75R (deg),CT,DeltaCQ (= CQ)
0,0,0
0.63,0.00013,0.000001
2.31,0.00075,0.000016
3.96,0.00160,0.000053
5.55,0.00255,0.000108
7.18,0.00346,0.000194
8.85,0.00421,0.000301
