V/OmegaR,theta0.75R,DeltaCQ,lambda2,lambda1(T),lambda1(Q),QC
0,5.13,0.000062,0,1.05,1.41,"B: lambda1(Q) anomalous at hover, expected ~1.0; possible typo 1.14"
.0136,5.26,.000072,.43,1.54,1.79,
.0214,4.87,.000067,.69,1.65,1.87,
.0303,4.88,.000065,.98,1.94,2.19,
.0373,4.81,.000067,1.20,2.14,2.34,
.0417,5.03,.000077,1.35,2.36,2.47,
.0463,5.01,.000081,1.50,2.51,2.53,
.0501,3.44,.000045,1.62,2.05,-,
.0525,1.94,.000030,1.69,1.57,1.55,
.0561,1.27,-.000002,1.81,1.44,1.63,
.0602,.68,-.000028,1.94,1.35,1.33,
.0650,-.11,-.000050,2.10,1.22,1.17,
.0720,-1.32,-.000072,2.32,1.00,1.00,
.0763,-1.66,-.000084,2.46,1.02,.99,
