V/OmegaR,theta0.75R,DeltaCQ,lambda2,lambda1(thr),lambda1(trq)
0,~4.9,0,0,~1.07,~1.09
~.027,~5.1,~+.000001,~.17,~1.06,~1.09
~.050,~5.3,~+.000003,~.31,~1.07,~1.10
~.072,~5.6,~+.000007,~.47,~1.11,~1.14
~.088,~5.9,~-.000003,~.61,~1.22,~1.25
~.101,~6.2,~-.000016,~1.03,~1.82,~--
~.109,~6.5,~-.000024,~1.28,~2.10,~--
