V/OmegaR,theta0.75R,DeltaCQ,lambda2,lambda1(thr),lambda1(trq)
0,~5.3,0,0,~1.07,~1.03
~.021,~5.5,~+.000002,~.13,~1.07,~1.05
~.044,~5.8,~+.000006,~.27,~1.08,~1.08
~.066,~6.2,~+.000013,~.43,~1.11,~1.14
~.082,~6.6,~+.000016,~.57,~1.24,~1.29
~.092,~7.0,~+.000005,~.79,~1.63,~--
~.099,~7.3,~-.000012,~1.10,~2.22,~--
~.103,~7.7,~-.000023,~1.39,~2.67,~--
~.107,~8.0,~-.000031,~1.74,~2.76,~--
~.110,~--,~-.000028,~2.11,~1.70,~--
