V/OmegaR,theta0.75R,DeltaCQ,lambda2,lambda1(thr),lambda1(trq)
0,~7.2,0,0,~1.05,~1.08
~.040,~7.5,~+.000012,~.19,~1.06,~1.09
~.073,~7.9,~+.000033,~.38,~1.09,~1.13
~.090,~8.3,~+.000053,~.55,~1.20,~1.28
~.100,~8.7,~+.000037,~.74,~1.52,~1.64
~.107,~9.2,~-.000010,~1.05,~2.13,~--
~.111,~9.7,~-.000040,~1.41,~2.60,~--
~.113,~10.0,~-.000048,~1.76,~2.47,~--
~.115,~--,~-.000037,~2.05,~1.58,~--
