V/OmegaR,theta0.75R,DeltaCQ,lambda2,lambda1(thr),lambda1(trq)
0,~4.8,0,0,~1.09,~1.10
~.027,~5.0,~+.000002,~.17,~1.08,~1.10
~.052,~5.2,~+.000006,~.33,~1.09,~1.12
~.073,~5.5,~+.000012,~.47,~1.14,~1.18
~.088,~5.8,~+.000016,~.63,~1.30,~1.38
~.099,~6.2,~-.000001,~.91,~1.79,~--
~.107,~6.5,~-.000017,~1.28,~2.27,~--
~.112,~6.9,~-.000028,~1.68,~2.02,~--
~.113,~--,~-.000022,~1.98,~1.52,~1.36
