Speed (rpm),4-ft M,4-ft Re,4-ft CL_alpha (/rad),6-ft M,6-ft Re,6-ft CL_alpha (/rad)
1200,0.165,114000,5.83,0.248,256000,5.90
1600,0.220,152000,5.90,0.330,341000,6.07
