V/OmegaR,theta0.75R,DeltaCQ,lambda2,lambda1(thr),lambda1(trq)
0,~7.6,0,0,~1.07,~1.08
~.033,~7.9,~+.000008,~.15,~1.07,~1.10
~.062,~8.3,~+.000022,~.31,~1.08,~1.12
~.083,~8.8,~+.000040,~.46,~1.12,~1.17
~.096,~9.2,~+.000054,~.62,~1.26,~1.36
~.104,~9.7,~+.000033,~.82,~1.63,~--
~.109,~10.2,~-.000009,~1.12,~2.26,~--
~.112,~10.6,~-.000039,~1.46,~2.56,~--
~.115,~--,~-.000042,~1.88,~2.12,~--
~.116,~--,~-.000029,~2.15,~1.55,~1.56
