V/OmegaR,theta0.75R,DeltaCQ,lambda2,lambda1(thr),lambda1(trq)
0,~9.2,0,0,~1.06,~1.08
~.036,~9.6,~+.000012,~.14,~1.07,~1.09
~.067,~10.0,~+.000033,~.29,~1.07,~1.11
~.089,~10.5,~+.000058,~.43,~1.10,~1.16
~.102,~11.1,~+.000075,~.59,~1.24,~1.34
~.109,~11.7,~+.000047,~.79,~1.58,~--
~.113,~12.2,~+.000003,~1.08,~2.19,~--
~.116,~12.7,~-.000044,~1.44,~2.52,~--
~.118,~--,~-.000052,~1.91,~2.14,~--
~.120,~--,~-.000035,~2.23,~1.56,~1.58
