V/OmegaR,theta0.75R,DeltaCQ,lambda2,lambda1(thr),lambda1(trq)
0,~8.3,0,0,~1.06,~1.05
~.027,~8.6,~+.000009,~.13,~1.06,~1.06
~.052,~9.0,~+.000022,~.26,~1.07,~1.09
~.074,~9.5,~+.000041,~.40,~1.10,~1.14
~.087,~10.0,~+.000059,~.55,~1.22,~1.31
~.095,~10.5,~+.000048,~.73,~1.55,~1.69
~.100,~11.0,~+.000008,~1.00,~2.09,~--
~.105,~11.5,~-.000038,~1.32,~2.75,~--
~.107,~12.0,~-.000057,~1.61,~3.10,~--
~.109,~--,~-.000058,~2.00,~2.41,~--
~.112,~--,~-.000043,~2.36,~1.60,~--
