V/OmegaR,theta0.75R,DeltaCQ,lambda2,lambda1(thr),lambda1(trq)
0,~4.6,0,0,~1.10,~1.11
~.035,~4.8,~+.000004,~.22,~1.09,~1.12
~.067,~5.1,~+.000011,~.44,~1.12,~1.16
~.088,~5.5,~+.000019,~.62,~1.28,~1.37
~.099,~5.8,~+.000001,~.87,~1.73,~--
~.108,~6.2,~-.000020,~1.32,~2.29,~--
~.113,~6.6,~-.000031,~1.77,~2.01,~--
~.114,~--,~-.000024,~2.04,~1.47,~1.36
