V/OmegaR,theta0.75R,DeltaCQ,lambda2,lambda1(T),lambda1(Q)
0,8.01,0.000000,0,1.07,1.17
.0330,8.20,0.000010,0.17,1.07,1.17
.0621,8.60,0.000028,0.31,1.08,1.21
.0850,9.00,0.000051,0.47,1.13,1.27
.0991,9.51,0.000070,0.65,1.29,-
.1070,10.00,0.000044,0.87,1.68,-
.1121,10.50,0.000003,1.18,2.28,-
.1150,11.01,-0.000036,1.52,2.62,-
.1170,10.90,-0.000041,1.96,2.14,-
.1190,10.50,-0.000028,2.21,1.56,1.29
