V/OmegaR,theta0.75R,DeltaCQ,lambda2,lambda1(T),lambda1(Q),QC
0,5.33,0.000087,0,1.13,1.16,
.0043,5.12,.000083,.36,1.41,1.43,
.0113,5.12,.000084,.61,1.66,1.67,
.0191,4.81,.000073,.91,1.84,1.92,
.0282,4.90,.000077,1.13,2.10,2.13,
.0350,5.22,.000080,1.27,2.36,2.48,
.0395,5.21,.000082,1.43,2.51,2.60,
.0444,3.89,.000065,1.55,2.15,-,
.0481,3.89,.000055,1.63,2.22,-,
.0504,1.88,.000006,1.72,1.58,1.65,
.0533,1.35,-.000007,1.84,1.51,1.55,
.0572,.55,-.000028,2.01,1.38,1.39,
.0624,-.30,-.000053,2.22,1.28,1.24,
.0690,-.77,-.000078,2.39,1.28,1.14,C: lambda1(T) identical to row above (lambda2=2.22); expected lower
