V/OmegaR,theta0.75R,DeltaCQ,lambda2,lambda1(thr),lambda1(trq)
0,~7.3,0,0,~1.07,~1.08
~.040,~7.6,~+.000011,~.18,~1.07,~1.10
~.075,~8.0,~+.000032,~.37,~1.09,~1.13
~.096,~8.5,~+.000055,~.54,~1.21,~1.30
~.106,~9.0,~+.000041,~.73,~1.54,~--
~.111,~9.5,~+.000001,~1.02,~2.19,~--
~.114,~10.0,~-.000036,~1.43,~2.60,~--
~.116,~--,~-.000042,~1.88,~2.11,~--
~.118,~--,~-.000029,~2.16,~1.54,~1.56
