Run,CT,RPM,lambda1(T),lambda1(Q),Note
3,0.004,1200,1.10,-,within scatter
4,0.004,1200,1.05,-,OK
5,0.004,1200,1.10,-,within scatter
6,0.002,1200,1.11,-,within scatter
9,0.002,1600,1.05,**1.41**,**FLAG B**
14,0.005,1600,1.03,-,OK
32,0.002,1200,0.97,1.09,OK
34,0.002,1600,1.13,1.16,within scatter
35,0.004,1600,1.08,-,OK
36,0.004,1200,1.01,1.06,OK (see Flag D for DeltaCQ)
38,0.005,1600,1.05,-,OK
