V/OmegaR,theta0.75R,DeltaCQ,lambda2,lambda1(thr),lambda1(trq)
0,~4.7,0,0,~1.07,~1.10
~.035,~4.9,~+.000003,~.22,~1.07,~1.10
~.067,~5.1,~+.000008,~.43,~1.10,~1.14
~.086,~5.5,~+.000015,~.59,~1.21,~1.28
~.098,~5.8,~-.000009,~.89,~1.70,~--
~.107,~6.2,~-.000024,~1.31,~2.22,~--
~.112,~6.5,~-.000031,~1.73,~2.15,~--
~.113,~6.7,~-.000029,~2.00,~1.47,~--
