V/OmegaR,theta0.75R,DeltaCQ,lambda2,lambda1(T),lambda1(Q)
0,9.21,0.000000,0,1.06,1.08
.0360,9.60,0.000012,0.14,1.07,1.09
.0671,10.01,0.000033,0.29,1.07,1.11
.0890,10.50,0.000058,0.43,1.10,1.16
.1020,11.11,0.000075,0.59,1.24,1.34
.1091,11.70,0.000047,0.79,1.58,-
.1130,12.20,0.000003,1.08,2.19,-
.1161,12.70,-0.000044,1.44,2.52,-
.1183,12.61,-0.000052,1.91,2.14,-
.1201,12.20,-0.000035,2.23,1.56,1.58
