V/OmegaR,theta0.75R,DeltaCQ,lambda2,lambda1(thr),lambda1(trq)
0,~7.9,0,0,~1.06,~1.05
~.033,~8.2,~+.000014,~.15,~1.06,~1.07
~.061,~8.7,~+.000036,~.30,~1.08,~1.11
~.083,~9.2,~+.000063,~.47,~1.12,~1.19
~.096,~9.8,~+.000073,~.65,~1.33,~1.46
~.102,~10.4,~+.000028,~.89,~1.85,~--
~.106,~11.0,~-.000024,~1.21,~2.68,~--
~.109,~11.6,~-.000070,~1.58,~3.15,~--
~.111,~--,~-.000073,~1.99,~2.55,~--
~.113,~--,~-.000050,~2.39,~1.68,~--
