V/OmegaR,theta0.75R,DeltaCQ,lambda2,lambda1(T),lambda1(Q),QC
0,8.49,0.000242,0,1.01,1.06,D: hover DeltaCQ 14% below Runs 3/4/5 at same CT/RPM
.0066,8.68,.000247,.15,1.21,1.32,
.0163,8.82,.000254,.37,1.47,1.57,
.0238,8.74,.000245,.54,1.62,1.78,
.0353,8.68,.000232,.81,1.86,2.13,
.0459,8.51,.000215,1.05,2.06,2.40,G: lambda1(Q)-lambda1(T)=0.34
.0525,8.72,.000224,1.20,2.27,2.61,G: lambda1(Q)-lambda1(T)=0.34
.0590,8.62,.000233,1.35,2.39,2.61,
.0652,8.80,.000247,1.49,2.58,2.75,
.0684,8.00,.000194,1.56,2.44,2.80,G: lambda1(Q)-lambda1(T)=0.36
.0715,6.34,.000106,1.63,2.08,2.77,"G: lambda1(Q)-lambda1(T)=0.69, verify source"
.0764,5.25,.000054,1.75,1.91,-,
.0831,4.29,.000016,1.90,1.81,1.67,
.0914,2.81,-.000047,2.09,1.62,1.56,
