V/OmegaR,theta0.75R,DeltaCQ,lambda2,lambda1(thr),lambda1(trq)
0,~5.1,0,0,~1.07,~1.04
~.028,~5.3,~+.000003,~.17,~1.07,~1.06
~.055,~5.6,~+.000009,~.35,~1.08,~1.11
~.077,~5.9,~+.000017,~.51,~1.15,~1.21
~.091,~6.3,~+.000012,~.71,~1.43,~--
~.100,~6.6,~-.000011,~1.07,~2.32,~--
~.106,~7.0,~-.000027,~1.55,~2.82,~--
~.110,~--,~-.000026,~2.09,~1.65,~--
