x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,-0.9597E+00,0.02,0.5239E+00?,0.00,-0.1632E+00,0.01,0.4846E+00,0.00,-0.7825E+00?
0.03,0.5103E+00,0.06,,0.01,0.3444E+00,0.03,0.6422E+00,0.02,0.6865E+00
0.12,0.5103E+00,0.10,0.5662E+00,0.04,0.6924E+00,0.04,0.6180E+00,0.07,0.6757E+00
0.26,0.3972E+00,0.15,0.5239E+00,0.07,0.6054E+00,0.06,0.6180E+00,0.12,0.5783E+00
0.47,0.2841E+00,0.19,0.5028E+00,0.09,0.6034E+00,0.10,0.5937E+00,0.15,0.5245E+00
0.69,0.1711E+00,0.23,0.4604E+00,0.13,0.5764E+00,0.13,0.5695E+00,0.19,0.4921E+00
0.83,0.5800E-01,0.29,0.4392E+00,0.17,0.5474E+00,0.17,0.5331E+00,0.23,0.4381E+00
,,0.33,0.3969E+00,0.21,0.5039E+00,0.21,0.4846E+00,0.29,0.3733E+00
,,0.39,0.3333E+00,0.24,0.4749E+00,0.26,0.4240E+00,0.33,0.3193E+00
,,0.44,0.3121E+00,0.30,0.4314E+00,0.30,0.3876E+00,0.39,0.2653E+00
,,0.52,0.2697E+00,0.35,0.3879E+00,0.35,0.3391E+00,0.44,0.2436E+00
,,0.61,0.1850E+00,0.42,0.3444E+00,0.42,0.2906E+00,0.50,0.2220E+00
,,0.73,0.1427E+00,0.50?,0.2719E+00,0.47,0.2542E+00,0.61,0.1681E+00
,,0.80,0.1003E+00,0.56,0.2283E+00,0.52,0.2178E+00,0.69,0.1249E+00
,,,,0.65,0.1704E+00,0.65,0.1450E+00,0.76,0.9243E-01?
,,,,0.76,0.1123E+00,0.73,0.9655E-01,0.90,-0.4781E-02
,,,,0.90,-0.3671E-02,0.80,,,
,,,,,,0.87,-0.4932E+00,,
