x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,-0.5054E+00,0.02,,0.00,,0.01,0.1652E+01,0.00,-0.6069E+00
0.03,0.1350E+01,0.06,0.1439E+00?,0.01,0.1719E+01?,0.03,0.1899E+01?,0.02,0.1472E+01
0.12,0.8879E+00,0.10?,0.1113E+01,0.01,0.2178E+01,0.04,0.1755E+01?,0.07,0.1707E+01
0.26,0.6274E+00,0.15,0.9518E+00,0.07,0.1783E+01,0.04,0.1744E+01,0.12,0.1548E+01
0.47,0.3905E+00?,0.19,0.8662E+00?,0.09,0.1288E+01,0.10,0.1773E+01,0.15,0.8345E+00
0.69,0.2247E+00,0.23,0.7688E+00,0.13,0.1113E+01,0.13,0.1349E+01,0.19,0.6529E+00
0.83,0.1063E+00,0.29,0.6703E+00,0.17,0.1033E+01,0.17,0.8414E+00,0.23,0.5459E+00
,,0.33,0.6119E+00,0.21,0.9039E+00,0.21,0.7127E+00,0.29,0.4601E+00
,,0.39,,0.24,0.7935E+00,0.26,0.5745E+00,0.33,0.4150E+00
,,0.44,0.4569E+00?,0.30,0.5780E+00,0.30,0.5354E+00,0.39,0.3545E+00
,,0.52,0.3551E+00,0.35,0.5780E+00,0.35,0.4536E+00,0.44,0.3362E+00
,,0.61,0.2494E+00,0.42,0.5021E+00,0.42,0.3763E+00,0.50,0.3038E+00
,,0.73,0.1450E+00?,0.50,0.3952E+00,0.47,0.3369E+00,0.61,0.2334E+00
,,0.80,0.8451E-01,0.56,0.3262E+00,0.52,0.2687E+00,0.69,0.1870E+00
,,,,0.65,0.2331E+00,0.65,0.1536E+00?,0.76,0.1448E+00
,,,,0.76,0.1227E+00,0.73,0.8540E-01,0.90,0.1808E-01
,,,,0.90,-0.2500E-01?,0.80,0.2176E-01,,
,,,,0.00?,-0.3900E-01?,0.80?,,,
,,,,,,0.87,-0.4793E-01?,,
