x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,0.5277E-01,0.02,0.5873E-01,0.00,0.3804E-01,0.01,0.7035E-01,0.00,-1.133E+00
0.03,0.5327E-01,0.06,0.4174E-01,0.01,0.3382E-01,0.04,?,0.02,0.4433E-01
0.12,0.5127E-01,0.10,0.4474E-01,0.05,?,0.07,?,0.07,0.1033E-01
0.20,0.4247E-01,0.15,0.6607E-01,0.07,?,0.10,0.6477E-01,0.10,0.8933E-01
0.26,0.3247E-01,0.20,0.5807E-01,0.09,?,0.15,0.8384E-01,0.15,0.8333E-01
0.40,0.2247E-01,0.23,0.5493E-01,0.11,?,0.21,0.7584E-01,0.20,0.7623E-01
0.54,0.1627E-01,0.27,0.5593E-01,0.14,?,0.27,0.6984E-01,0.27,0.6973E-01
0.68,0.1027E-01,0.30,0.4593E-01,0.18,0.7187E-01,0.33,0.5984E-01,0.32,0.5723E-01
0.79,0.5027E-02,0.33,0.4351E-01,0.21,0.6554E-01,0.40,0.4992E-01,0.38,0.4293E-01
0.85,0.4022E-02,0.39,0.3751E-01,0.25,0.5954E-01,0.46,0.4402E-01,0.44,0.3523E-01
,,0.44,0.3251E-01,0.30,0.5454E-01,0.52,0.3812E-01,0.49,0.3023E-01
,,0.49,0.2801E-01,0.34,0.5074E-01,0.58,0.3412E-01,0.55,0.2253E-01
,,0.54,0.2391E-01,0.39,0.4574E-01,0.64,0.2912E-01,0.60,0.1783E-01
,,0.59,0.1901E-01,0.44,0.4100E-01,0.69,0.2242E-01,0.65,0.1333E-01
,,0.63,0.1501E-01,0.49,0.3600E-01,0.73,0.1542E-01,0.70,0.9834E-02
,,0.68,0.1101E-01,0.54,0.3000E-01,0.77,0.1042E-01,0.75,0.6434E-02
,,0.73,0.7614E-02,0.59,0.2500E-01,0.82,0.1248E-01,0.79,0.5084E-02
,,0.77,0.5714E-02,0.64,0.2200E-01,0.87,0.2094E-01,0.84,0.4484E-01
,,0.82,0.5114E-02,0.69,0.1800E-01,0.91,?,,
,,,,0.74,0.1300E-01,,,,
,,,,0.79,0.1000E-01,,,,
,,,,0.84,0.8000E-02,,,,
,,,,0.89,?,,,,
,,,,0.94,?,,,,
