x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,-0.1004E+01,0.02,0.2601E+00,0.00,-0.5943E+00,0.01,-0.8560E-01,0.00,-0.1147E+01
0.03,0.3984E+00,0.06,0.4977E+00?,0.02,-0.5456E-01,0.03,0.2789E+00,0.02,0.2122E+00?
0.12,0.4689E+00,0.10,0.5429E+00,0.04,0.5841E+00,0.04,0.3500E+00,0.07,0.6366E+00
0.26,0.4050E+00,0.15,0.5272E+00,0.07,0.5420E+00,0.06,0.4443E+00,0.12,0.6960E+00?
0.47,0.2612E+00,0.19,,0.09,0.5942E+00,0.10,0.5813E+00,0.15,0.4658E+00
0.60,0.1524E+00?,0.23,0.4781E+00,0.13,0.6087E+00,0.13,0.6330E+00,0.19,0.5770E+00?
0.83,0.5359E-01,0.29,0.4466E+00,0.17,0.6275E+00,0.17,0.6305E+00,0.23,0.4652E+00
,,0.33,0.4191E+00,0.21,0.5725E+00,0.00,0.5736E+00,0.29,0.3569E+00
,,0.39,,0.24,0.5304E+00,0.26,0.4624E+00,0.33,0.3148E+00
,,0.44,0.3268E+00,0.30,0.3507E+00,0.30,0.4211E+00,0.39,0.2682E+00?
,,0.52,0.2640E+00,0.35,0.4116E+00,0.35,0.3539E+00,0.44,0.2487E+00?
,,0.61,0.1854E+00,0.42,0.3551E+00,0.42,0.3047E+00,0.50,0.2268E+00?
,,0.73,0.1226E+00,0.50,0.2913E+00,0.47?,0.2698E+00,0.61,0.1551E+00
,,0.80,0.6369E-01,0.56,0.2493E+00,0.52,0.2130E+00,0.69,0.1101E+00
,,,,0.65,0.1811E+00,0.60,0.1199E+00,0.76,0.6387E-01
,,,,0.76,0.9852E-01,0.73,0.6563E-01,0.90,-0.6382E-01
,,,,0.90,-0.4642E-01,0.80,0.6173E-02,,
,,,,,,0.87,-0.5975E-01,,
