x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,-0.9510E+00,0.02,0.2748E+00,0.00,-0.4878E+00,0.01,0.6212E-01,0.00,-0.1033E+01
0.03,0.3784E+00,0.06,0.4554E+00,0.01,0.3871E-01,0.03,0.3464E+00,0.02,0.3681E+00
0.12,0.4223E+00,0.10,0.4809E+00,0.04,0.5204E+00,0.04,0.3822E+00,0.07,0.5124E+00
0.24,0.3564E+00?,0.15,0.4639E+00?,0.07,0.4635E+00,0.06,0.4258E+00?,0.12,0.4635E+00
0.47,0.2466E+00?,0.19,0.4384E+00,0.09,0.4904E+00,0.10,0.4642E+00,0.15,0.4542E+00
0.69,0.1294E+00,0.23,0.4129E+00,0.13,0.4874E+00,0.13,0.4590E+00,0.19,0.4193E+00
0.83,0.4152E-01,0.29,0.3831E+00,0.17,0.4815E+00,0.17,0.4488E+00,0.23,0.3481E+00
,,0.33,0.3661E+00,0.21,0.4515E+00,0.21,0.4206E+00,0.29,0.3076E+00
,,0.39,0.2896E+00,0.00,0.4244E+00,0.26,0.3694E+00,0.33,0.2704E+00
,,0.44,0.2938E+00,0.30,0.3708E+00,0.30,0.3361E+00,0.39,0.2355E+00
,,0.52,0.2385E+00,0.30,0.3618E+00,0.35,0.2874E+00?,0.44,
,,0.61,0.1748E+00,0.42,0.2976E+00?,0.42,0.2491E+00,0.50,0.1959E+01?
,,0.73,0.1195E+00,0.50,0.2421E+00,0.47,0.2286E+00,0.61,0.1378E+00
,,0.80,0.6848E-01,0.56,0.2092E+00,0.52,0.1850E+00,0.69,0.1005E+00
,,,,0.65,0.1554E+00,0.65,0.1133E+00,0.76,0.6330E-01
,,,,0.76,0.8657E-01,0.73,0.7236E-01,0.90,-0.3211E-01
,,,,0.90,-0.3309E-01,0.80,0.2626E-01,,
,,,,,,0.87,0.2750E-01?,,
