x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,-5.6713E-01,0.02,-7.3219E-01,0.01,-4.3576E-01,0.01,?,0.00,-1.1226E-01
0.03,-5.5396E-01,0.06,-4.3586E-01,0.04,-4.3570E-01,0.04,-4.3315E-01,0.03,-4.3315E-01
0.12,-5.2608E-01,0.10,-4.4275E-01,0.09,-5.3586E-01,0.07,-4.5015E-01,0.07,-0.9974E-01
0.20,-4.2540E-01,0.15,-4.3756E-01,0.17,-5.2586E-01,0.10,-6.4015E-01,0.10,-5.3346E-01
0.30,-3.2150E-01,0.20,-4.3751E-01,0.25,-4.9016E-01,0.15,-5.9015E-01,0.15,-5.2546E-01
0.47,-1.5149E-01,0.23,-4.4758E-01,0.33,-4.8186E-01,0.21,-5.6015E-01,0.20,-4.9546E-01
0.65,-1.7546E-01,0.28,-4.5826E-01,0.37,-4.3560E-01,0.27,-4.5715E-01,0.27,-3.9546E-01
,,0.33,-3.5826E-01,0.45,-3.9820E-01,0.33,-3.8715E-01,0.32,-3.0546E-01
,,0.39,-3.0528E-01,0.54,-3.5820E-01,0.40,-3.4715E-01,0.38,-2.5046E-01
,,0.44,-2.6025E-01,0.60,-2.9820E-01,0.46,-3.0715E-01,0.44,-2.2346E-01
,,0.49,-2.1525E-01,0.70,-2.1820E-01,0.52,-2.3715E-01,0.49,-1.8916E-01
,,0.54,-1.8025E-01,0.80,-1.4220E-01,0.57,-1.7615E-01,0.55,-1.3306E-01
,,0.59,-1.4025E-01,0.90,-7.5600E-02,0.62,-1.2615E-01,0.60,-9.1750E-02
,,0.64,-1.1525E-01,,,0.67,-7.5750E-02,0.65,-6.5150E-02
,,0.69,-8.7250E-02,,,0.73,-5.1750E-02,0.71,-3.3750E-02
,,0.74,-7.2250E-02,,,0.79,-2.1750E-02,0.76,-2.0250E-02
,,0.79,-5.6250E-02,,,0.84,-1.5750E-02,0.82,-1.3750E-02
,,0.84,-5.6403E-01,,,,,0.88,-7.2746E-02
