x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.04,0.2176E+00,0.09,0.5647E+00,0.01,0.2621E-01,0.01,0.2020E+00,0.00,-0.8456E+00
0.20,0.4091E+00,0.20,0.3067E+00,0.04,0.1975E-01,0.04,0.2724E+00,0.07,0.2596E+00
0.35,0.2589E+00,0.31,0.2219E+00,0.13,0.1491E+00,0.16,0.2484E+00,0.45,0.1748E+00
0.49,0.1507E+00,0.51,0.1610E+00,0.34,0.1491E+00,0.50,0.2024E+00,0.51,0.1399E+00
0.65,0.3440E-01,0.79,0.2844E+00,0.57,0.4074E+00,0.57,0.1247E+00,0.65,0.1190E+00
,,,,0.74,0.1334E+00,0.70,0.9181E-01,0.79,0.1202E+00
,,,,0.90,-0.2984E-01,0.90,-0.1082E+01,0.90,-0.7299E-01
