x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.04,0.4310E+00,0.07,-0.2615E+00,0.01,-0.2224E+00,0.01,-0.2290E+00,0.07,-0.2931E+00
0.20,0.1414E+00,0.20,0.2619E+00,0.04,0.9746E-01,0.04,0.2166E+00,0.45,-0.3746E+00
0.35,0.1141E+00,0.38,0.1479E+00,0.13,0.1479E+00,0.16,0.3060E+00,0.51,-0.1340E+00
0.49,0.1414E+00,0.51,0.1380E+00,0.34,0.1516E+00,0.28,0.2922E+00,0.65,-0.1148E+00
0.65,0.5067E-01,0.57,0.2287E+00,0.57,0.1398E+00,0.50,0.2204E+00,0.79,-0.1246E+00
,,,,0.71,0.2225E+00,0.44,0.7981E-01,,
,,,,0.90,-0.2446E+00,0.70,0.9440E-01,,
,,,,,,0.90,-0.1124E+00,,
