x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,0.7731E-01,0.02,0.7833E-01,0.00,0.3004E-01,0.01,1.114E+00,0.00,1.100E+00
0.03,0.8484E-01,0.04,0.9486E-01,0.05,0.7004E-01,0.04,1.120E+00,0.03,0.8096E-01
0.12,0.5733E-01,0.10,0.8746E-01,0.13,0.6604E-01,0.06,1.125E+00,0.12,0.6196E-01
0.20,0.5394E-01,0.15,0.8124E-01,0.25,0.5985E-01,0.10,1.035E+00,0.21,0.5596E-01
0.30,0.3974E-01,0.20,0.7724E-01,0.33,0.5585E-01,0.15,0.9759E-01,0.28,0.5096E-01
0.47,0.2474E-01,0.23,0.7124E-01,0.37,0.5185E-01,0.21,0.8899E-01,0.33,0.4396E-01
0.65,0.1294E-01,0.28,0.6524E-01,0.45,0.4785E-01,0.27,0.7999E-01,0.39,0.3796E-01
0.83,1.089E+00,0.33,0.5585E-01,0.54,0.4385E-01,0.33,0.6949E-01,0.44,0.3196E-01
,,0.39,0.4825E-01,0.60,0.3685E-01,0.40,0.5959E-01,0.49,0.2596E-01
,,0.44,0.4215E-01,0.70,0.2985E-01,0.46,0.5449E-01,0.54,0.2096E-01
,,0.49,0.3615E-01,0.80,0.2005E-01,0.52,0.4449E-01,0.60,0.1596E-01
,,0.54,0.3005E-01,0.90,0.1085E-01,0.58,0.3849E-01,0.65,0.1186E-01
,,0.59,0.2505E-01,,,0.65,0.2949E-01,0.70,0.8860E-02
,,0.63,0.2305E-01,,,0.71,0.2249E-01,0.75,0.6760E-02
,,0.68,0.1855E-01,,,0.76,0.1849E-01,0.79,0.5660E-02
,,0.73,0.1565E-01,,,0.82,0.1329E-01,0.84,0.4760E-02
,,0.77,0.1265E-01,,,0.87,0.8898E-02,0.89,0.3760E-02
,,0.82,0.9265E-02,,,0.91,0.4598E-02,0.94,0.2646E-01
,,0.86,0.7165E-02,,,0.96,0.2548E-01,,
,,0.91,0.5565E-02,,,,,,
,,0.96,0.3505E-02,,,,,,
