x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,-2.1313E-01,0.02,-3.3179E-01,0.00,-4.157E-01,0.01,-2.1045E-01,0.00,-0.1759E+00
0.03,-5.5106E-01,0.06,-4.4357E-01,0.04,-4.3955E-01,0.04,-4.3878E-01,0.03,-2.1284E-01
0.12,-5.3126E-01,0.10,-4.4234E-01,0.09,-5.8020E-01,0.07,-4.4814E-01,0.07,-6.4414E-01
0.20,-4.2546E-01,0.15,-4.3851E-01,0.17,-5.8080E-01,0.10,-6.7920E-01,0.10,-5.5414E-01
0.30,-3.4256E-01,0.20,-4.7486E-01,0.25,-5.4580E-01,0.15,-6.3514E-01,0.15,-5.4254E-01
0.47,-1.5141E-01,0.23,-5.0216E-01,0.33,-4.7550E-01,0.19,-5.6018E-01,0.20,-5.2696E-01
0.65,-1.7546E-01,0.28,-4.6021E-01,0.37,-4.7550E-01,0.25,-4.9010E-01,0.29,-4.3775E-01
,,0.33,-3.6265E-01,0.45,-4.5058E-01,0.31,-4.1080E-01,0.34,-3.3785E-01
,,0.39,-3.2214E-01,0.54,-4.1058E-01,0.37,-3.5080E-01,0.40,-2.6905E-01
,,0.44,-2.7216E-01,0.60,-3.3588E-01,0.43,-3.3080E-01,0.46,-2.0005E-01
,,0.49,-2.2224E-01,0.70,-2.3748E-01,0.49,-2.6080E-01,0.51,-1.4655E-01
,,0.54,-1.8220E-01,0.80,-1.5058E-01,0.55,-2.0080E-01,0.57,-1.0475E-01
,,0.59,-1.4226E-01,0.90,-7.5480E-02,0.60,-1.4950E-01,0.63,-7.2155E-02
,,0.64,-1.2221E-01,,,0.65,-1.1050E-01,0.68,-5.1755E-02
,,0.69,-9.7210E-02,,,0.71,-5.4580E-02,0.74,-3.5155E-02
,,0.74,-7.9350E-02,,,0.76,-3.4580E-02,0.79,-2.1175E-02
,,0.79,-5.8805E-02,,,0.82,-2.5050E-01,,
,,0.90,-5.8803E-02,,,,,,
