x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.04,-0.4367E-01,0.00,,0.01,-0.3024E+00,0.01,-0.5054E+00,0.00,-0.1024E+01
0.20,0.1685E+00?,0.07,-0.3173E-01,0.02,-0.1873E+00,0.04,-0.1255E+00,0.07,-0.1913E-01
0.45,0.7656E-01,0.18,0.2437E+00,0.11,0.1912E+00?,0.14,0.1455E+00,0.16,0.1442E+00
0.69,-0.2399E-01,0.28,0.2074E+00,0.14,0.2337E+00,0.00,0.1399E+00,0.24,0.1481E+00
0.85,-0.9317E-01,0.38,0.1659E+00,0.24,0.2180E+00,0.45,0.6444E-01,0.39,0.7755E-01?
,,0.51,0.1060E+00?,0.34,0.1849E+00,0.57,-0.6789E-02,0.51,0.1222E-01?
,,,,,,0.40?,-0.7000E-01?,0.51,0.1222E-01
,,0.57,0.6329E-01,0.57,0.6187E-01,0.69,-0.5707E-01,0.63,-0.2436E-01
,,0.79,-0.1009E+00,0.74,-0.2328E-01,0.79,-0.1199E+00,0.74,-0.6417E-01
,,,,0.90,-0.1289E+00,0.90,-0.1967E+00,0.85,-0.1093E+00?
,,,,,,,,0.98?,-0.1073E+00?
