x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.04,0.4155E-02,0.00,0.7282E-01,0.01,0.5530E-01,0.01,0.4219E-01,0.00,0.4137E-01
0.20,0.1335E-01,0.07,0.9893E-02,0.14,0.1393E-01,0.04,0.5347E-02,0.07,0.1387E-01
0.35,0.2004E-01,0.18,0.3802E-02,0.38,0.3974E-02,0.14,0.1199E-01,0.18,0.3737E-02
0.49,0.1004E-01,0.28,0.5350E-01,0.57,0.3793E-01,0.49,0.3198E-01,0.34,0.1562E-01
0.65,0.1104E-01,0.39,0.9495E-01,0.74,0.9594E-01,0.69,0.7582E-02,0.50,0.2432E-01
,,0.51,0.4875E-01,0.90,0.9594E-02,0.88,0.3284E-01,0.63,0.1352E-01
,,0.57,0.2750E-01,,,0.95,?,0.79,0.1185E-01
,,0.78,0.1494E-01,,,,,0.95,0.1093E-01
,,0.91,0.2209E-01,,,,,,
