x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.04,0.5818E-01,0.00,0.7992E-01,0.01,0.1991E-01,0.01,0.6413E-01,0.00,0.8222E-01
0.20,9.546E-03,0.07,0.1029E-01,0.11,0.3704E-01,0.11,0.2306E-01,0.07,0.9453E-02
0.35,?,0.18,0.4190E-01,0.21,0.3704E-01,0.21,0.2324E-01,0.18,0.3434E-01
0.49,2.148E-01,0.28,0.3241E-01,0.41,0.3721E-01,0.37,0.3721E-01,0.34,0.1173E+00
0.65,2.145E-01,0.39,0.2421E-01,0.57,0.1480E-01,0.57,0.3721E-01,,
,,0.51,0.2484E-01,0.74,0.2715E-01,0.74,0.2418E-01,,
,,0.57,0.1479E-01,0.90,0.1149E-01,0.90,?,,
,,0.78,0.2609E-01,,,,,,
,,0.90,0.1003E-01,,,,,,
