x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.04,0.7504E-01?,0.00,-0.8323E+00,0.01,-0.5340E+00,0.01,-0.6842E+00,,-0.9532E+00
0.20,0.2189E+00?,0.07,-0.5502E+00,0.02,-0.3644E+00,0.04,-0.2821E+00?,0.07,-0.6819E-01
0.45,0.2189E+00,0.18,0.1888E+00,0.11,0.8818E-01,,0.8460E-01,0.16,0.1320E+00
0.69,0.1454E+00,0.28,0.2087E+00?,0.14,0.1448E+00,0.28,0.1556E+00,0.24,0.1531E+00
0.85,,0.38,0.1920E+00,0.24,0.1730E+00,0.45,0.1437E+00,0.39,0.1531E+00
,,0.51,0.1694E+00,0.34,0.1872E+00,0.57,0.1201E+00,0.35?,0.1320E+00
,,0.57,0.1425E+00,0.00,0.1306E+00,0.69,0.9642E-01,0.63,0.1109E+00
,,0.79?,0.4355E-01,0.74,0.8818E-01,0.79?,0.4912E-01?,0.74,0.8984E-01
,,,,0.90,-0.1083E-01,0.90,-0.2184E-01,0.85,0.5827E-01
