x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,-0.9467E+00,0.02,0.4847E+00,0.00,-0.2270E+00,0.01,0.4567E+00,0.00,-0.8672E+00
0.03,0.5042E+00,0.04,0.5567E+00,0.01,0.3191E+00,0.03,0.6444E+00,0.02?,0.7131E+00
0.12,0.4833E+00,0.10,0.5627E+00,0.04,0.4857E+00,0.04,0.6267E+00,0.07,0.4799E+00
0.26,0.3844E+00?,0.15,0.5148E+00,0.07,0.5858E+00,0.06,0.6232E+00,0.12,0.5432E+00
0.47,0.2641E+00,0.19,0.4909E+00,0.09,0.5984E+00,0.10,0.5949E+00,0.15,0.5243E+00?
0.69,0.1388E+00,0.23,,0.13,0.5608E+00,0.13,0.5666E+00,0.19,0.4673E+00
0.83,0.4490E-01,0.29,0.4190E+00,0.17,0.5400E+00,0.17,0.5383E+00,0.23,0.4024E+00
,,0.33,,0.21,0.5025E+00,,0.4923E+00?,0.29,0.3322E+00
,,0.39,0.3113E+00,0.24,0.4650E+00?,0.26,0.4251E+00,0.33,0.2971E+00
,,0.44,0.2933E+00,0.30,0.3933E+00,0.30,0.3791E+00,0.37,0.2556E+00
,,0.52,0.2395E+00,0.35,0.3607E+00,0.30,0.3190E+00,0.44,0.2365E+00?
,,0.61,,0.42,0.3149E+00,0.42,0.2836E+00,0.50,0.2078E+00
,,0.73,0.1257E+00,0.50,0.2545E+00,0.47,0.2553E+00,0.61,0.1504E+00
,,0.80?,0.6584E-01?,0.56,0.2190E+00,0.52,0.2058E+00,0.69,0.1089E+00
,,,,0.65,0.1404E+00,0.60,0.1245E+00,0.76,0.7042E-01
,,,,0.76?,0.8561E-01,0.73,0.8202E-01,0.90,-0.2507E-01
,,,,0.90,-0.3528E-01,0.80,0.3251E-01,,
,,,,,,0.87,-0.2055E-01,,
