x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,-0.9876E+00,0.02,0.2782E+00,0.00,-0.5587E+00,0.01,-0.3842E-01,0.00,-0.1113E+01
0.03,0.4000E+00,0.06,0.5042E+00?,0.01,-0.2671E-01,0.03,0.3143E+00,0.02,0.2477E+00
0.12,0.4701E+00,0.10,0.5445E+00?,0.04,0.5889E+00,0.04,0.3766E+00,0.07,0.6427E+00
0.26,0.4101E+00,0.15,0.5264E+00,0.07,0.5456E+00,0.06,0.4601E+00?,0.12,0.6352E+00
0.47,0.2666E+00,0.19,0.5103E+00?,0.09,0.5904E+00,0.10,0.5742E+00,0.15,0.6278E+00
0.69,0.1632E+00,0.23,0.4859E+00?,0.13,0.6053E+00,0.13,0.6060E+00,0.19,0.5644E+00
0.83,0.6648E-01,0.29,0.4553E+00,0.17,0.6218E+00,0.17,0.6060E+00,0.23,0.4713E+00
,,0.33,0.4329E+00,0.21,0.5755E+00,0.21,0.5569E+00?,0.29,0.3719E+00
,,0.39,,0.24,0.5366E+00?,0.26,0.4668E+00,0.33,0.3359E+00
,,0.44,0.3433E+00,0.30,0.3842E+00,0.30,0.4336E+00,0.39,0.2924E+00
,,0.52,0.2863E+00?,0.35,0.4290E+00,0.35,0.3713E+00,0.44,0.2713E+00
,,0.61,0.2110E+00,0.42,0.3722E+00,0.42,0.3236E+00,0.50,0.2464E+00
,,0.73,0.1478E+00,0.50,0.3110E+00,0.47,0.2904E+00,0.61,0.1744E+00
,,,,0.56,0.2662E+00,0.52,0.2321E+00,0.69,0.1272E+00
,,,,0.65,0.1989E+00,0.65,0.1379E+00,0.76,0.8120E-01
,,,,0.76,,0.73,0.8357E-01,0.90,-0.4178E-01
,,,,0.90,-0.2522E-01,0.80,0.2523E-01,,
,,,,,,0.87,-0.3709E-01?,,
