x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.04,0.8446E-01,0.00,-0.9104E+00,0.01,-0.5307E+00,0.01,-0.7102E+00,0.00,-0.1113E+01
0.20,,0.07,-0.1443E-01,0.02,-0.3796E+00,0.04,-0.2737E+00,0.07,-0.5667E-01
0.45,0.2041E+00,0.18,0.2508E+00,0.11,0.1435E+00,0.14,0.1809E+00,0.16,0.2284E+00
0.69,0.1015E+00,0.28,0.2617E+00,0.14,0.2234E+00,0.28,0.2690E+00,0.24,0.2711E+00
0.85,0.4056E-01?,0.38,0.2272E+00,0.24,0.2815E+00,0.45,0.2276E+00,0.39,0.2223E+00
,,0.51,0.1785E+00,0.34,0.2485E+00?,0.57,0.1486E+00,0.51,0.1626E+00
,,0.57,0.1465E+00,0.57,0.1537E+00,0.69,0.9157E-01,0.63,0.1115E+00
,,0.79,,0.74?,0.7229E-01,0.79,0.2551E-01,0.74,0.6394E-01
,,,,0.00,0.4395E-01,0.90,-0.5739E-01,0.85,0.2130E-01
