x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,-0.9708E+00,0.02,0.2850E+00?,0.00,-0.5440E+00,0.01,0.5721E-02?,0.00,-0.1083E+01
0.03,0.3983E+00,0.06,,0.01,-0.1238E-01,0.03,0.3316E+00,0.02,0.3144E+00?
0.12,0.4695E+00?,0.10,0.5183E+00,0.04,0.5658E+00,0.04,0.3862E+00?,0.07,0.6049E+00
0.26,0.4022E+00,0.15,0.5040E+00,0.07,0.5140E+00,0.06,0.4529E+00,0.12,0.5627E+00
0.47,0.2677E+00,0.19,0.4850E+00,0.09,0.5520E+00,0.10,0.5196E+00,0.10,0.5472E+00?
0.69,0.1648E+00,0.23,0.4635E+00,0.13,0.5589E+00,0.13,0.5423E+00,0.19,0.4993E+00
0.83,0.6985E-01,0.29,0.4350E+00,0.17,0.5710E+00,0.17,0.5332E+00,0.23,0.4233E+00
,,0.33,0.4088E+00,0.21,0.5227E+00,0.21,0.4968E+00,0.29,0.3459E+00
,,0.39,0.3231E+00,0.24,0.4882E+00,0.26,0.4271E+00,0.33,0.3093E+00
,,0.44,0.3231E+00,0.30,0.3898E+00,0.30,0.4044E+00,0.39,0.2671E+00
,,0.52,0.2635E+00,0.35,0.3915E+00,0.35,0.3407E+00?,0.44,0.2474E+00
,,0.61,0.1897E+00,0.42,0.3380E+00,0.42,0.2998E+00,0.50,0.2249E+00
,,0.73,0.1302E+00,0.00,0.2810E+00,0.47,0.2695E+00,0.61,0.1601E+00
,,0.80,0.7307E-01,0.56,0.2396E+00?,0.52,0.2179E+00,0.69,0.1179E+00
,,,,0.65,0.1792E+00,0.65,0.1370E+00,0.76,0.7707E-01
,,,,0.76,0.1033E+00,0.73,0.8302E-01,0.90,-0.3353E-01
,,,,0.90,-0.3136E-01,0.80,0.2997E-01,,
,,,,,,0.87,-0.3046E-01,,
