x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.04,0.4577E-01,0.00,,0.01,-0.2104E+00,0.01,-0.3813E+00,0.00,-0.7214E+00
0.20,0.2954E+00,0.07,0.8122E-01,0.02,-0.9781E-01,0.04,-0.9944E-02,0.07,0.7062E-01
0.45,0.2014E+00,0.18,0.3123E+00,0.11,0.2649E+00?,0.14,0.2306E+00,0.16,0.2110E+00
0.69,0.9708E-01,0.28,0.3011E+00,0.14,0.3066E+00,0.28,0.2341E+00,0.24,0.2301E+00
0.85,0.3446E-01?,0.38,0.2588E+00,0.24,0.2932E+00,0.45,0.1775E+00,0.39,0.1823E+00
,,0.51,0.1996E+00?,0.34,0.2690E+00,0.57,0.1129E+00,0.51,0.1440E+00
,,0.57,0.1638E+00,0.57,0.1648E+00,0.69,0.6788E-01,0.63,0.9933E-01
,,0.79,0.3248E-01,0.74?,0.8144E-01,0.79,0.1482E-01,0.74,0.6103E-01
,,,,0.90,-0.2278E-01,0.90,-0.5238E-01,0.85,0.2596E-01
,,,,0.00?,,0.00?,-0.5238E-01?,0.08?,0.2596E-01?
