x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.04,0.1953E+00,1.00,-0.3395E+00,0.01,-0.1831E+00,0.01,-0.1223E+00,0.00,-0.7348E+00
0.20,0.3564E+00?,1.00?,0.1919E+00,0.02,0.8657E-01,0.00?,0.1953E+00,0.07,0.2471E+00
0.45,0.2319E+00,0.18?,0.4001E+00,0.11,,0.14,0.3513E+00?,0.16,0.3146E+00
0.43?,0.1148E+00,0.28,0.3401E+00,0.14,0.4127E+00,0.28,,0.24,0.3006E+00
0.85,0.3421E-01?,0.38,0.3067E+00,0.24,0.3797E+00,,0.2055E+00,0.39,0.2169E+00
,,0.51,0.2320E+00,0.34,0.3349E+00,,0.1364E+00,0.51,0.1610E+00
,,0.57?,0.1906E+00,0.57,0.2913E+00?,0.69,-0.8004E-01,0.63,0.1122E+00
,,0.79,0.3860E-01,0.74,0.1015E+00,0.79,0.1344E-01?,0.74,0.6562E-01
,,,,0.90,-0.1814E-01,0.90,-0.6593E-01,0.85?,0.1676E-01
