x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,-0.9013E+00,0.02,0.9542E+00,0.00?,-0.7883E-01,0.01,0.5568E+00,0.00,-0.1063E+01?
0.03,0.8542E+00,0.06,0.9542E+00,0.01,0.5877E+00,0.03,0.9660E+00,0.02,0.6031E+00
0.12,0.6781E+00,0.10,0.8765E+00,0.04,,0.04,0.1024E+01,0.07,0.9853E+00
0.26,0.5168E+00,0.15,0.7821E+00,0.07,0.1118E+01,0.06,0.1040E+01,0.12,0.1074E+01
0.47,0.3407E+00,0.19,0.6859E+00,0.09,0.1110E+01,0.10,0.1125E+01,0.15,0.1150E+01
0.69,0.1974E+00,0.23,0.6378E+00,0.13,0.1070E+01,0.13,0.1193E+01,0.19,0.1089E+01
0.83,0.8392E-01,0.29,0.5749E+00,0.17,0.1017E+01,0.17,0.1242E+01,0.23,0.1058E+01
,,0.33,0.5231E+00,0.21,0.8186E+00,0.21,0.1208E+01,0.29,0.6124E+00
,,0.39,0.4121E+00,0.24,0.6881E+00,0.26,0.9758E+00,0.33,0.3141E+00
,,0.44,0.3955E+00,0.30,0.4723E+00,0.30,0.5925E+00,0.39,0.2314E+00
,,0.52,0.3215E+00,0.35,0.5025E+00,0.35,0.3398E+00,0.44,0.2372E+00
,,0.61,0.2234E+00,0.42,0.4146E+00,0.42,0.2905E+00,0.50,0.2302E+00?
,,0.73,0.1365E+00,0.50,0.3211E+00,0.47,0.2708E+00,0.61,0.1650E+00
,,0.80,,0.56,0.2565E+00,0.52,0.2215E+00,0.69,0.1218E+00
,,,,0.65,0.1768E+00,0.65,0.1254E+00,0.76,0.7524E-01
,,,,0.76,0.7648E-01,0.73,0.6620E-01,0.90,-0.5061E-01
,,,,0.90,-0.7470E-01,0.80,0.3339E-02,,
,,,,,,0.87,-0.6199E-01,,
