x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,0.54487E-01,0.02,0.98620E-01,0.00,0.54027E-01,0.01,1.1028E+00,0.00,1.1026E+00
0.03,0.89543E-01,0.04,0.98246E-01,0.01,1.0805E+00,0.04,1.1030E+00,0.02,1.2560E+00
0.12,0.85438E-01,0.10,0.80248E-01,0.04,0.98050E-01,0.08,1.0180E+00,0.07,1.2260E+00
0.20,0.74348E-01,0.15,0.76048E-01,0.08,0.94050E-01,0.13,0.95800E-01,0.10,1.0260E+00
0.30,0.68248E-01,0.20,0.71048E-01,0.12,0.82050E-01,0.17,0.82800E-01,0.13,0.94600E-01
0.47,0.45248E-01,0.23,0.66548E-01,0.17,0.82050E-01,0.21,0.82300E-01,0.17,0.84600E-01
0.65,0.24248E-01,0.28,0.60548E-01,0.21,0.78050E-01,0.25,0.72300E-01,0.21,0.74600E-01
0.83,0.15948E-01,0.33,0.49048E-01,0.25,0.72050E-01,0.29,0.65800E-01,0.24,0.69600E-01
,,0.39,0.42248E-01,0.29,0.62050E-01,0.33,0.60800E-01,0.28,0.63600E-01
,,0.44,0.37248E-01,0.33,0.54050E-01,0.38,0.54800E-01,0.32,0.57600E-01
,,0.49,0.32248E-01,0.37,0.51050E-01,0.42,0.48800E-01,0.37,0.50600E-01
,,0.54,0.27748E-01,0.42,0.45050E-01,0.46,0.41800E-01,0.41,0.42600E-01
,,0.59,0.22748E-01,0.46,0.42050E-01,0.52,0.35800E-01,0.45,0.34600E-01
,,0.63,0.18748E-01,0.50,0.37050E-01,0.56,0.28800E-01,0.50,0.28600E-01
,,0.68,0.15248E-01,0.54,0.33050E-01,0.60,0.21800E-01,0.54,0.22600E-01
,,0.73,0.12248E-01,0.58,0.30050E-01,0.64,0.17800E-01,0.58,0.18600E-01
,,0.77,0.97480E-02,0.63,0.25050E-01,0.68,0.13300E-01,0.63,0.13600E-01
,,0.82,0.72980E-02,0.67,0.22050E-01,0.73,0.93000E-02,0.67,0.97400E-02
,,0.86,0.51980E-02,0.71,0.17050E-01,0.77,0.63000E-02,0.71,0.68400E-02
,,0.91,0.34580E-02,0.75,0.14050E-01,0.81,0.45000E-02,0.75,0.47400E-02
,,0.96,0.18680E-02,0.79,0.10050E-01,0.85,0.25000E-02,0.79,0.34400E-02
,,,,0.83,0.70500E-02,0.89,0.14000E-02,0.83,0.24400E-02
,,,,0.88,0.45000E-02,,,0.87,0.13400E-02
,,,,0.92,0.27000E-02,,,0.92,?
,,,,0.96,0.14000E-02,,,,
