x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.04,-7.5105E-01,0.00,-8.8803E-01,0.00,-9.4900E-01,0.01,-1.1506E+00,0.00,-1.0194E+00
0.20,0.2537E-01,0.07,-2.5253E-01,0.02,-3.7890E-01,0.04,-0.2771E+00,0.07,-9.2215E-02
0.35,0.3440E-01,0.18,-0.0984E-01,0.03,-0.5840E-01,0.14,0.1546E-01,0.18,0.8215E-02
0.49,0.4220E-01,0.29,0.1041E-01,0.14,0.1369E-01,0.38,0.1346E-01,0.34,0.3715E-02
,,0.50,0.2097E-01,0.49,0.1546E-01,0.63,-0.1254E-01,0.50,-0.1984E-01
,,0.57,0.1386E-01,0.74,0.1346E-01,0.88,-0.8171E-01,0.65,-0.2984E-01
,,0.79,0.9170E-02,0.90,-0.7040E-01,,,0.79,-0.3084E-01
,,0.95,?,,,,,,
