x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,-0.8199E+00,0.02,0.9529E+00,0.00,0.3636E-01,0.01,0.7550E+00,0.00,-0.9710E+00?
0.03,0.8680E+00,0.06,0.9408E+00,0.01,0.7244E+00,0.03,0.1149E+01,0.02,0.7742E+00
0.12,0.6889E+00,0.10,0.8597E+00,0.04,0.1308E+01,0.04,0.1214E+01?,0.07,0.1136E+01?
0.26,0.5364E+00,0.15,0.7644E+00,0.07,0.1065E+01,0.06,0.1207E+01,0.12,0.3118E+01?
0.47,0.3706E+00,0.19,0.4833E+00?,0.09,0.1055E+01,0.10,0.1263E+01,0.15,0.1112E+01?
0.69,0.2180E+00,0.23,0.6347E+00,0.13,0.9463E+00,0.13,0.1274E+01,0.19,0.9540E+00
0.83,0.1086E+00,0.29,0.5637E+00,0.17,0.9061E+00?,0.17,0.1154E+01,0.23,0.5459E+00
,,0.33,0.5232E+00,0.21,0.7750E+00,0.21,,0.29,0.3599E+00?
,,0.39,0.4198E+00,0.24,0.6837E+00,0.26,0.3511E+00?,0.33,0.3376E+00
,,0.44,0.4056E+00,0.30,0.4876E+00,0.30,0.4931E+00,0.39,0.3090E+00
,,0.52,0.3346E+00,0.35,0.5114E+00,0.35,0.4322E+00,0.44,0.2941E+00?
,,0.61,0.2414E+00,0.42,0.4310E+00,0.42,0.3820E+00,0.50,0.2718E+00
,,0.73,0.1623E+00,0.50,0.3461E+00,0.47,0.3410E+00,0.61,0.1937E+00
,,0.80,0.8932E-01,0.56,0.2836E+00,0.50,0.2762E+00,0.69,0.1465E+00
,,,,0.65,0.2032E+00,0.60,0.1635E+00,0.76,0.1007E+00
,,,,0.76,0.1049E+00,0.73,0.1042E+00,0.90,-0.2586E-01
,,,,0.90,-0.4704E-01,0.80,0.4070E-01,,
,,,,,,0.87,-0.3206E-01,,
