x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,-0.4815E+00,0.02,0.1701E+01,0.00,0.1585E+01,0.01,0.2115E+01?,0.00,0.1833E+00
0.03,0.1328E+01,0.06,0.1235E+01?,0.01,0.1991E+01,0.03,0.1764E+01,0.02,0.1642E+00?
0.12,0.8735E+00,0.10,0.1045E+01,0.04,0.1614E+01,0.04,0.1558E+01,0.07,
0.00,0.5739E+00,0.15,0.8535E+00,0.07,0.1367E+01,0.06,0.1388E+01,0.12,0.8206E+00
0.47,0.3854E+00,0.19,0.7693E+00,0.09,0.1150E+01,0.10,0.1048E+01,0.15,0.7450E+00
0.69,0.1970E+00,0.23,0.6845E+00,0.13,0.9904E+00,0.13,0.9390E+00,0.19,0.6369E+00
0.83,0.8388E-01,0.29,0.5998E+00,0.17,0.9034E+00,0.17,0.8420E+00,0.23,0.5505E+00
,,0.33,0.5574E+00,0.21,0.8019E+00,0.21,0.7207E+00,0.29,0.4641E+00
,,0.39,0.4515E+00,0.24,0.7148E+00,0.26,0.5995E+00,0.33,0.3993E+00
,,0.44,0.4091E+00,0.30,0.5788E+00,0.30,0.5388E+00,0.39,0.3453E+00
,,0.52,0.3456E+00,0.35,0.5408E+00,0.35,0.4539E+00,0.44,0.3129E+00
,,0.61,0.2397E+00,0.42,0.4538E+00,0.42,0.3933E+00,0.50,0.2913E+00
,,0.73,0.1550E+00,0.50,0.3668E+00,0.47,0.3448E+00,0.61,0.2157E+00
,,0.80,0.9143E-01,0.56,0.3088E+00,0.52,0.2841E+00,0.67,0.1833E+00
,,,,0.65,0.2363E+00,0.65,0.1750E+00?,0.74?,0.1400E+00
,,,,0.76,0.1347E+00,0.73,0.1143E+00,0.90,0.4281E-01
,,,,0.90,0.4230E-02,0.80,0.6586E-01,,
,,,,,,0.87,0.5212E-02,,
