x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.04?,0.4451E-01,0.00?,-0.9080E+00,0.01,-0.5332E+00,0.01,-0.7152E+00,0.00,-0.1088E+01
0.20,0.2537E+00,0.07,0.2741E-01,0.02,0.3785E+00?,0.04,-0.2784E+00,1.00,-0.6530E-01
0.45,0.1909E+00,0.18,0.2303E+00?,0.11,0.1304E+00,0.14,0.1478E+00,0.16,0.1806E+00
0.69,0.1044E+00,0.28,0.2526E+00,0.14,0.2026E+00,0.28,0.2204E+00,0.24,0.2101E+00
0.85,0.5335E-01?,0.38,0.2210E+00,0.24,0.2349E+00,0.45,0.1826E+00,0.39,0.1679E+00
,,0.51,0.1768E+00,0.34,0.2266E+00,0.57,0.1297E+00,0.51,0.1244E+00
,,0.57,0.1459E+00,0.57,0.1236E+00,0.69,0.7074E-01,0.63,0.8083E-01
,,0.79,0.3244E-01?,0.74,0.6332E-01,0.79,0.1935E-01,0.74,0.4570E-01
,,,,0.90,-0.4498E-01,0.70,-0.5773E-01,0.05?,0.1057E-01?
