x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,-0.8720E+00,0.02,0.9271E+00,0.00,0.1737E+00,0.01,0.3857E+00,,-0.1106E+01
0.03,0.3425E+00?,0.06,0.9651E+00?,0.01,0.4835E+00,0.03,0.7715E+00,0.02,0.4563E+00
0.12,0.6824E+00?,0.00,0.9254E+00,0.04,0.1123E+01,0.04,0.8440E+00,0.07,0.8523E+00
0.26,0.5145E+00,0.00,0.8322E+00,0.07,0.1083E+01,0.06,0.8463E+00,0.12,0.9468E+00
0.47,0.3436E+00,0.19?,0.7511E+00,0.09,0.1079E+01,0.10,0.9749E+00,0.15,0.1037E+01
0.67,0.1892E+00,0.23,0.6648E+00,0.13,0.1169E+01,0.13,0.1040E+01,0.19,0.1067E+01
0.83,0.8171E-01,0.29,0.5974E+00?,0.17,0.1226E+01,0.17,0.1099E+01,0.23,0.1030E+01
,,0.33,0.5491E+00,0.21,0.1129E+01,0.21,0.1144E+01,0.29,0.1004E+01
,,0.39,0.4352E+00,0.24,0.9751E+00,0.26,0.1170E+01,0.33,0.7878E+00
,,0.44,0.4162E+00,0.30,0.4382E+00,0.30,0.1126E+01,0.39,0.4963E+00?
,,0.52,0.3333E+00,0.35,0.5288E+00,0.35,0.8417E+00,0.44,0.1948E+00
,,0.61,0.2350E+00,0.42,0.4318E+00,0.42,0.3226E+00,0.50,0.1659E+00
,,0.73,0.1469E+00,0.50,0.3209E+00,0.47,0.1764E+00,0.61,0.1348E+00
,,,0.7444E-01,0.54,0.2623E+00?,0.52,0.1238E+00,0.69,0.1036E+00
,,,,0.65,0.1834E+00,0.65,0.6887E-01,0.76,0.6136E-01
,,,,0.76,0.7729E-01,0.73,0.2094E-01,0.90,-0.6657E-01
,,,,0.90,-0.7407E-01,0.80,-0.3634E-01,,
,,,,,,0.87,-0.9831E-01,,
