x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.04,-0.8053E-01,,-0.9243E+00,0.01,-0.5284E+00?,0.00?,,0.00,-0.1134E+01
0.20,0.2573E+00?,0.07,-0.2758E-01,0.02,-0.3812E+00,0.00,-0.2784E+00,0.07,-0.7667E-01?
0.45,0.1953E+00,0.18,0.2443E+00,0.11,0.1483E+00,0.14,0.1659E+00,0.16,0.2170E+00
0.69,0.9611E-01,0.28,0.2641E+00,0.14,0.2346E+00,0.28,0.2634E+00,0.24,0.2683E+00
0.85?,0.4343E-01,0.38,0.2266E+00,0.24,0.2785E+00,0.45,0.2133E+00,0.39,0.2074E+00
,,0.51,0.1741E+00,0.34,0.2672E+00,0.57,0.1406E+00,0.51,0.1523E+00
,,0.57,0.1413E+00,0.57,0.1483E+00,0.69,0.8237E-01,0.63,0.1036E+00
,,0.79,0.2093E-01,0.74,,0.79,0.1528E-01,0.74,0.5344E-01
,,,,0.90,-0.5274E-01,0.90,-0.7080E-01,0.85,0.9276E-02
,,,,0.09?,-0.5274E-01?,0.00?,0.7071E+01?,0.08?,
