x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,-0.8645E+00,0.02,,0.00,-0.4141E-01,0.01,0.6381E+00,0.00,-0.1040E+01
0.03,0.8584E+00,0.06,0.9458E+00,0.01,0.6381E+00,0.03,0.1055E+01,0.02,0.6539E+00
0.12,0.6756E+00,0.10,0.8598E+00,0.04,0.1289E+01,0.04,0.1094E+01?,0.07,0.1053E+01
0.26,0.3518E+00?,0.15,0.7623E+00,0.07,0.1128E+01,0.06,0.1094E+01,0.12,0.1115E+01
0.47,0.3595E+00,0.19,0.6820E+00,0.09,0.1095E+01,0.10,0.1194E+01,0.15,0.1147E+01
0.69,0.2046E+00,0.00,0.6361E+00,0.13,0.1026E+01,0.13,0.1228E+01,0.19,0.1093E+01
0.83,0.9611E-01,0.29,0.5768E+00,0.17,0.9708E+00,0.17,0.1251E+01,0.23,0.9917E+00
,,0.33,0.5252E+00,0.21,0.7910E+00,0.21,0.1191E+01,0.29,0.3602E+00
,,0.39,0.4104E+00,0.24,0.6919E+00,0.26,0.6419E+00,0.33,0.2719E+00
,,0.44,0.4009E+00,0.30,0.4881E+00,0.30,0.4216E+00,0.39,0.2588E+00
,,0.32,0.3167E+00,0.35,0.5150E+00?,0.35,0.3533E+00,0.44,0.2635E+00
,,0.61,0.2211E+00,0.42,0.4314E+00,0.42,0.3305E+00,0.50,0.2444E+00
,,0.73,0.1389E+00,0.50,0.3352E+00,0.47,0.3064E+00,0.61,0.1728E+00
,,0.80,0.6814E-01,0.56,0.2700E+00,0.52,0.2431E+00,0.69,0.1239E+00
,,,,0.60,0.1879E+00,0.65,0.1393E+00,0.76,0.7612E-01
,,,,0.76,0.8459E-01,0.73,0.7604E-01,0.90,-0.5399E-01
,,,,0.90,-0.6972E-01,0.80,0.8951E-02,,
,,,,,,0.87,-0.6194E-01,,
