x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,-0.4666E+00,0.02,0.1765E+01,0.00,0.1389E+01,0.01,0.2225E+01,0.00,-0.1533E+00
0.03,0.1350E+01,0.06,0.1337E+00?,0.01,0.2011E+01,0.03,0.1905E+01,0.02,0.1797E+01
0.12,0.8722E+00,0.10,0.1025E+00,0.04,0.1735E+01,0.04,0.1707E+01,0.07,0.1217E+01
0.26,0.3926E+00?,0.15,0.8803E+00,0.07,0.1281E+01,0.06,0.1437E+01,0.12,0.8709E+00
0.47,0.3793E+00,0.19,0.8076E+00,0.09,0.1182E+01,0.10,0.1103E+01,0.15,0.7844E+00
0.69,0.2175E+00,0.23,0.7350E+00,0.13,0.1022E+01,0.13,0.7919E+00,0.19,0.6475E+00
0.83,0.9979E-01,0.29,0.6453E+00,0.17,0.9320E+00,0.17,0.8761E+00,0.23,0.5646E+00
,,0.33,0.5855E+00,0.21,0.8268E+00,0.21,0.7551E+00,0.29,0.4757E+00
,,0.39,0.4745E+00,0.24,0.7336E+00,0.26,0.6213E+00,0.33,0.4196E+00
,,0.44,0.4403E+00,0.30,0.5984E+00,0.30,0.5596E+00,0.39,0.3411E+00
,,0.52,0.3506E+00,0.35,0.5503E+00,0.35,0.4721E+00,0.44,0.3214E+00
,,0.61,0.2609E+00,0.42,0.4631E+00,0.42,0.4000E+00,0.50,0.2886E+00
,,0.73,0.1669E+00,0.50,0.3669E+00,0.47,0.7434E+00,0.61,0.2185E+00
,,0.80,0.9856E-01,0.56,0.3038E+00,0.52,0.2765E+00,0.69?,0.1740E+00
,,,,0.65,0.2226E+00,0.65,0.1633E+00,0.76,0.1343E+00
,,,,0.76,0.1204E+00,0.73,0.1015E+00,0.90,0.1737E-01
,,,,0.90,-0.2986E-01,0.80,0.4231E-01,,
,,,,,,0.87,-0.2203E-01,,
