x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,0.86536E-01,0.02,0.94256E-01,0.00,1.7506E+00,0.01,1.1506E-01,0.00,0.57746E-01
0.03,0.89546E-01,0.04,0.98196E-01,0.01,1.1146E+00,0.04,1.1081E-01,0.02,0.99872E-01
0.12,0.67270E-01,0.10,0.77447E-01,0.04,1.1101E+00,0.10,1.0081E+00,0.07,0.99372E-01
0.20,0.64280E-01,0.15,0.73447E-01,0.17,0.84870E-01,0.15,1.0081E+00,0.10,0.99372E-01
0.30,0.55380E-01,0.20,0.68447E-01,0.21,0.74870E-01,0.21,0.92810E-01,0.15,0.80372E-01
0.47,0.31941E-01,0.23,0.64447E-01,0.25,0.70810E-01,0.28,0.75810E-01,0.21,0.72372E-01
0.65,0.22441E-01,0.28,0.58447E-01,0.34,0.65387E-01,0.33,0.63810E-01,0.27,0.66372E-01
0.83,0.13214E-01,0.33,0.48005E-01,0.40,0.55387E-01,0.40,0.49285E-01,0.33,0.63272E-01
,,0.39,0.40505E-01,0.44,0.47387E-01,0.44,0.40285E-01,0.38,0.56172E-01
,,0.44,0.34005E-01,0.50,0.42387E-01,0.50,0.36285E-01,0.44,0.41372E-01
,,0.49,0.30505E-01,0.55,0.38387E-01,0.56,0.29285E-01,0.49,0.33472E-01
,,0.54,0.26505E-01,0.60,0.33887E-01,0.62,0.22285E-01,0.55,0.27472E-01
,,0.59,0.21505E-01,0.65,0.26887E-01,0.68,0.17285E-01,0.60,0.22172E-01
,,0.63,0.16805E-01,0.70,0.23887E-01,0.73,0.12285E-01,0.65,0.16472E-01
,,0.68,0.14005E-01,0.75,0.17787E-01,0.79,0.77846E-02,0.70,0.12472E-01
,,0.73,0.11205E-01,0.80,0.14987E-01,0.84,0.53840E-02,0.75,0.87020E-02
,,0.77,0.89050E-02,0.85,0.12987E-01,0.89,0.38960E-02,0.79,0.59920E-02
,,0.82,0.78050E-02,0.90,0.97870E-02,,,0.84,0.32320E-02
,,0.86,0.57050E-02,0.95,0.76510E-02,,,0.89,?
,,0.91,0.46050E-02,,,,,,
,,0.96,0.10005E-01,,,,,,
