x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,-0.1002E+01?,0.02,0.2642E+00?,0.00?,-0.5947E+00,0.01,-0.1028E+00,0.00,-0.1153E+01
0.03,0.3822E+00,0.06,,0.01,0.4201E-01,0.03,0.2637E+00,0.00,0.1841E+00
0.12,0.4533E+00,0.10,0.5366E+00?,0.04,0.5821E+00,0.04,0.3355E+00,0.07,0.4074E+00
0.26,0.3384E+00,0.15,0.5213E+00,0.07,0.5440E+00,0.06,0.4300E+00,0.12,0.7071E+00
0.47,0.2555E+00?,0.19,,0.09,0.5961E+00,0.10,0.5836E+00,0.15,0.7131E+00
0.49,0.1443E+00?,0.23,,0.14?,0.6215E+00,0.13,0.6390E+00,0.19,0.6205E+00
0.83,0.4848E-01?,0.29,0.4490E+00,0.17,0.4398E+00,0.17,0.6604E+00,0.23,0.5140E+00
,,0.33,0.4223E+00?,0.21,0.5719E+00?,0.21,0.5884E+00?,0.29,0.3475E+00
,,0.39,,0.24,0.5510E+00,0.26,0.4703E+00?,0.33,0.3238E+00
,,0.44,,0.30,0.3439E+00,0.30,0.4249E+00,0.39,0.2322E+00
,,0.52,,0.35,0.4341E+00,0.35,0.3645E+00,0.44,0.2632E+00?
,,0.61,0.1956E+00?,0.42,0.3743E+00,0.42,0.3166E+00,0.50,0.2395E+00
,,0.73,0.1327E+00,0.50,0.3115E+00,0.47,0.2813E+00,0.61,0.1459E+00?
,,0.80,0.6986E-01,0.56,0.2621E+00,0.52,0.2209E+00,0.49,0.1172E+00
,,,,0.65,0.1931E+00,0.65,0.1239E+00,0.76,0.6854E-01?
,,,,0.74,0.1085E+00,0.73,0.6725E-01?,0.90,-0.6032E-01
,,,,0.90,-0.3464E-01?,0.80,0.4804E-02,,
,,,,,,0.87,-0.5869E-01,,
