x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,-0.6502E+00?,0.02,0.9462E+00,0.00,,0.01,0.9837E+00,0.00,-0.8971E+00?
0.03,0.8784E+00?,0.00?,0.8917E+00,0.01,0.8249E+00?,0.03,0.1353E+01,0.02,0.1005E+01
0.12,0.6893E+00,0.10,0.8230E+00,0.04,0.1246E+01,0.04,0.1300E+01,0.07,0.1233E+01
0.26,0.5248E+00,0.15,0.7307E+00,0.07,0.9830E+00,0.06,0.1219E+01,0.12,0.8789E+00
0.47,0.3480E+00,0.19,0.6502E+00,0.09,0.9469E+00,0.10,0.1077E+01,0.15,0.6583E+00
0.49?,0.2105E+00,0.23,0.5886E+00,0.13,0.8627E+00,0.13,0.9338E+00,0.19,0.6033E+00
0.83,0.1005E+00,0.29?,0.5436E+00,0.17?,0.8025E+00,0.17,0.8053E+00,0.23,0.4897E+00
,,0.33,0.4915E+00,0.21,0.7166E+00,0.21,0.7071E+00,0.29,0.4195E+00
,,0.39,0.3873E+00,0.24,0.6444E+00,0.26,0.5831E+00,0.33,0.3661E+00
,,0.44,0.3779E+00,0.34?,0.4982E+00,0.30,0.5363E+00,0.39,0.3113E+00
,,0.52,0.3021E+00,0.35,0.4896E+00,0.35,0.4456E+00,0.44,0.2818E+00
,,0.61,0.2192E+00,0.42,0.4088E+00,0.42,0.3821E+00,0.50,0.2565E+00
,,0.73,0.1387E+00,0.50,0.3332E+00,0.47,0.3353E+00,0.61,0.1820E+00
,,0.80,0.7238E-01,0.56,0.2730E+00,0.52,0.2733E+00,0.69,0.1328E+00
,,,,0.65,0.1957E+00,0.65,0.1645E+00,0.76,0.8926E-01
,,,,0.76,0.1029E+00,0.73,0.1040E+00,0.90,-0.3299E-01
,,,,0.90,-0.4670E-01,0.80,0.4354E-01,,
,,,,,,0.87,-0.2599E-01,,
