x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,-0.3253E+00?,0.02,0.1724E+01,0.00,0.1529E+01,0.01,0.2208E+01,0.00,0.3207E-01
0.03,0.1366E+01,0.06,0.1337E+01,0.01,0.2004E+01,0.03,0.1854E+01,0.02,0.1720E+01
0.12,0.8354E+00?,0.10,0.1032E+01,0.04,0.1683E+01,0.04,0.1642E+01,0.07,0.1193E+01
0.26,0.5933E+00,0.15,0.8700E+00,0.07,0.1320E+01,0.06,0.1409E+01,0.12,0.8416E+00
0.47,0.3741E+00,0.19,0.7981E+00?,0.09,0.1158E+01,0.10,0.1090E+01,0.15,0.7734E+00
0.69,0.2175E+00,0.23,0.7203E+00,0.13,0.9950E-01?,0.13,0.9771E+00,0.19,0.6637E+00
0.83,0.1026E+00,0.29,0.6365E+00,0.17,0.9285E+00,0.17,0.8639E+00,0.23,0.5617E+00
,,0.33,0.5824E+00,0.21,0.8242E+00,0.21,0.7507E+00,0.29,0.4723E+00
,,0.39,0.4489E+00,0.24,0.7367E+00,0.26,0.6198E+00,0.33,0.4117E+00
,,0.44,0.4389E+00,0.30,0.6074E+00,0.30,0.5597E+00,0.39,0.3575E+00
,,0.52,0.3551E+00,0.35,0.5449E+00,0.35,0.4677E+00,0.44,0.3256E+00
,,0.61,0.2593E+00,0.42,0.4615E+00,0.42,0.3970E+00,0.50,0.2937E+00
,,0.73,0.1635E+00,0.50,0.3740E+00,0.47,0.3474E+00,0.61,0.2267E+00
,,,0.9765E-01?,0.56,0.3114E+00,0.52,0.2838E+00,0.69,0.1788E+00
,,,,0.65,0.2239E+00,0.65,0.1776E+00,0.76,0.1437E+00
,,,,0.76,0.1280E+00,0.73,0.1104E+00,0.90,0.3207E-01
,,,,0.90,-0.1375E-01,0.80,0.5735E-01,,
,,,,,,0.87,-0.6327E-02,,
