x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.04,0.7240E+00,0.00,-0.9950E+00,0.01,-0.8554E+00,0.01,-0.9725E+00,0.00,-0.1104E+01
0.20,0.6764E-01?,0.07,,0.00,-0.6985E+00?,0.04,-0.5970E+00?,0.07?,-0.3008E+00?
0.45,0.8414E-01,0.18,0.5412E-01,0.11,0.1439E+00,0.14,-0.1210E+00,0.15,0.1828E-02
0.49,0.4565E-01,0.80,0.1030E+00,,0.3990E-01?,0.28,0.2893E-01,0.24,0.6235E-01
0.08,0.1264E-01,0.38,0.1017E+00,0.40,0.6871E-01,0.45,,0.39,0.8252E-01
,,0.51,0.9992E-01,0.34,0.1057E+00,0.57,0.3693E-01,0.51,0.6785E-01
,,0.57,0.7635E-01,0.57,0.8257E-01,0.69,,0.63,0.4768E-01
,,0.79,,0.74,0.4771E-01,0.79,,0.74,0.2567E-01
,,,,0.90,,0.90,-0.6905E-01,0.85,0.5497E-02
