x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,-0.5503E+00,0.02,0.1873E+01?,0.00,0.4625E+00?,0.01,0.1235E+01,0.00,-0.7727E+00
0.03,0.1320E+01?,0.04?,0.1487E+00?,0.01?,0.1327E+01,0.03,0.1491E+01,0.02,0.1127E+01
0.12,0.8333E+00,0.10?,0.1113E+01?,0.04,0.1918E+01,0.04,0.1548E+01,0.07,0.1422E+01
0.26,0.5894E+00?,0.15,0.7418E+00?,0.07,0.1772E+00?,0.06,0.1577E+01,0.12,0.1370E+01
0.47,0.3732E+00,0.19,,0.07?,,0.10,0.1612E+01,0.15,0.1377E+01
0.69,0.1965E+00,0.00,,0.00,0.1349E+01,0.10,0.1537E+01,0.19,0.1310E+01?
0.83,0.7317E-01,0.90,0.6700E+00?,0.17,0.1013E+01,0.17,0.1487E+01,0.23,0.8172E+00
,,0.33,,0.21,,0.21,0.1124E+01,0.29,0.4902E+00
,,0.39,0.4782E+00?,0.24?,,0.24,0.6918E+00,0.33,0.3800E+00
,,0.44,0.4435E+00?,0.30?,0.4764E+00?,0.30,0.5356E+00,0.39,0.3211E+00
,,0.00,0.3610E+00?,0.35,0.5594E+00,0.35,0.3981E+00,0.44,0.2973E+00
,,0.61,0.2514E+00,0.42,0.4463E+00,0.42,0.3234E+00,0.50,0.6470E+00
,,0.73,0.1516E+00,0.00,0.3492E+00?,0.47,0.7400E+00,0.61,0.2008E+00?
,,0.80,0.8214E-01,0.00,0.2922E+00,0.52,0.2972E+00,0.49,0.1544E+00
,,,,0.40,0.1746E+00,0.04?,0.1058E+00,0.76,0.1169E+00
,,,,0.76,,0.73,0.4169E-01,0.90,-0.2148E-02
,,,,0.90,-0.5163E-01,0.80,-0.1171E-01,,
,,,,,,0.87,-0.6510E-01?,,
