x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,-0.8955E+00,0.02,0.9608E+00,0.00,-0.7624E-02,0.01,0.6796E+00,0.00,-0.1012E+01
0.03,0.3837E+00,0.06,,0.01,0.6666E+00,0.03,0.1101E+01,0.02,0.7084E+00
0.12,0.6577E+00,0.10,0.8702E+00,0.04,0.1299E+01,0.04,0.1151E+01,0.07,
0.26,0.5374E+00,0.15,0.7757E+00,0.07,0.1066E+01,0.06,0.1134E+01,0.12,0.1159E+01
0.47,0.3547E+00,0.19,0.6949E+00,0.07?,0.1073E+01,0.10,0.1222E+01,0.15,0.1128E+01
0.00,0.2073E+00,0.23,,0.13,0.9459E+00,0.13,0.1265E+01,0.19,0.1081E+01
0.83,0.9827E-01,0.90,0.5787E+00,0.17,0.9078E+00,0.17,0.1213E+01,0.23,0.7657E+00
,,0.33,0.5314E+00,0.21,0.7814E+00,0.21,0.1152E+01,0.29,0.3446E+00?
,,0.39,0.4231E+00,0.24,0.6884E+00,,0.4931E+00,0.33,0.3003E+00
,,0.44,0.4034E+00,0.30,0.4806E+00,0.30,0.4517E+00,0.39,0.2820E+00
,,0.52,0.3207E+00,0.35,0.5068E+00,0.35,0.3973E+00,0.44,0.2735E+00
,,0.61,0.2320E+00,0.47,0.4225E+00,0.00,0.3532E+00,0.50,0.2503E+00
,,0.73,0.1434E+00,0.00,0.3280E+00,0.47,0.3170E+00,0.61,0.1821E+00
,,0.80,0.7642E-01,0.56,0.2714E+00,0.52,0.2522E+00,0.69,0.1273E+00
,,,,0.65,0.1842E+00,0.65,0.1460E+00,0.76,0.8221E-01
,,,,0.76,0.8682E-01,0.73,0.7991E-01,0.90,-0.4084E-01
,,,,0.90,-0.6284E-01,0.80,0.1903E-01,,
,,,,,,0.87,-0.4962E-01,,
