x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,0.9512E-01,0.02,0.4481E-01,0.00,0.4714E-01,0.01,0.4476E-01,0.00,-4.016E+00
0.03,0.5518E-01,0.06,0.5790E-01,0.04,0.4731E-01,0.04,0.4441E-01,0.03,?
0.12,0.4744E-01,0.10,0.5743E-01,0.10,0.4771E-01,0.07,0.6811E-01,0.07,?
0.20,0.3759E-01,0.15,0.5381E-01,0.17,0.5479E-01,0.10,0.6057E-01,0.10,?
0.30,0.3095E-01,0.20,0.5186E-01,0.25,0.5708E-01,0.17,0.6496E-01,0.15,?
0.47,0.1431E-01,0.23,0.4973E-01,0.33,0.5548E-01,0.23,0.5369E-01,0.21,0.5033E-01
0.65,0.1509E-01,0.30,0.4808E-01,0.37,0.5499E-01,0.29,0.4445E-01,0.28,0.5093E-01
0.83,0.5049E-02,0.33,0.4080E-01,0.45,0.5078E-01,0.35,0.3953E-01,0.34,0.4539E-01
,,0.39,0.3546E-01,0.54,0.4801E-01,0.41,0.3061E-01,0.40,0.3638E-01
,,0.44,0.3088E-01,0.60,0.3648E-01,0.47,0.2819E-01,0.46,0.2844E-01
,,0.49,0.2608E-01,0.70,0.2191E-01,0.53,0.2002E-01,0.52,0.2257E-01
,,0.54,0.2179E-01,0.80,0.1491E-01,0.59,0.1202E-01,0.57,0.1647E-01
,,0.59,0.1801E-01,0.90,0.9746E-02,0.65,0.9661E-02,0.63,0.1332E-01
,,0.64,0.1501E-01,,,0.71,0.4778E-02,0.69,0.1001E-01
,,0.69,0.1257E-01,,,0.76,0.4801E-02,0.74,0.5469E-02
,,0.74,0.1005E-01,,,0.82,0.1740E-02,0.80,0.3752E-02
,,0.79,0.8643E-02,,,,,0.86,0.3501E-02
,,0.84,0.7247E-02,,,,,0.91,0.2375E-02
,,0.90,0.8643E-02,,,,,,
