x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,-4.4815E-01,0.00,-4.8815E-01,0.00,-2.1346E-01,0.00,-4.2156E-01,0.00,-4.7454E-01
0.03,-5.5306E-01,0.04,-5.5481E-01,0.05,-2.6500E-01,0.04,-4.4219E-01,0.03,-5.3592E-01
0.12,-5.3060E-01,0.10,-5.5086E-01,0.13,-4.6015E-01,0.06,-4.5415E-01,0.12,-4.1256E-01
0.20,-3.7344E-01,0.15,-5.4856E-01,0.25,-5.0151E-01,0.10,-6.7415E-01,0.21,-3.5795E-01
0.30,-2.9244E-01,0.20,-5.2480E-01,0.33,-5.1151E-01,0.15,-5.6415E-01,0.28,-3.7195E-01
0.47,-2.5344E-01,0.23,-4.9485E-01,0.37,-5.3778E-01,0.17,-5.8024E-01,0.33,-2.9160E-01
0.65,-1.9498E-01,0.28,-4.6500E-01,0.45,-5.1497E-01,0.21,-5.5480E-01,0.39,-2.5295E-01
0.83,-4.4413E-02,0.33,-4.3424E-01,0.54,-4.7750E-01,0.28,-4.8680E-01,0.44,-2.2695E-01
,,0.39,-3.7480E-01,0.60,-3.6994E-01,0.33,-3.8650E-01,0.49,-1.9695E-01
,,0.44,-3.1246E-01,0.70,-2.2480E-01,0.38,-3.2480E-01,0.54,-1.6275E-01
,,0.49,-2.6195E-01,0.80,-1.4804E-01,0.44,-2.3480E-01,0.60,-1.1795E-01
,,0.54,-2.2250E-01,0.90,-6.8801E-02,0.49,-1.9480E-01,0.65,-8.6795E-02
,,0.59,-1.8807E-01,,,0.54,-1.5480E-01,0.71,-4.6795E-02
,,0.64,-1.4897E-01,,,0.59,-1.1480E-01,0.76,-4.1628E-02
,,0.69,-1.2197E-01,,,0.65,-7.4480E-02,0.82,-1.6819E-02
,,0.74,-9.7497E-02,,,0.70,-4.9480E-02,,
,,0.79,-7.6497E-02,,,,,,
,,0.84,-5.9997E-02,,,,,,
,,0.89,-3.6497E-02,,,,,,
,,0.94,-3.1497E-02,,,,,,
