x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.04,9.7523E-02,0.00,-9.8087E-01,0.01,-5.3948E-01,0.01,-7.1456E-01,0.00,-1.0335E+00
0.20,2.2565E-01,0.07,-0.8060E-01,0.11,-0.7960E-01,0.11,0.1796E-01,0.07,-0.3090E-01
0.35,2.3395E-01,0.18,0.2024E-01,0.21,0.2031E-01,0.21,0.5796E-01,0.18,0.1160E-01
0.49,2.3395E-01,0.28,0.1044E-01,0.41,0.2030E-01,0.57,0.5740E-01,0.34,0.1260E-01
0.65,?,0.39,0.3049E-01,0.57,0.2030E-01,0.69,0.3796E-01,0.50,0.1260E-01
,,0.51,0.1448E-01,0.74,0.2031E-01,0.88,-0.4085E-01,0.65,?
,,0.57,0.2549E-01,0.90,-0.2358E-01,,,0.79,-0.1183E-01
,,0.79,0.1550E-01,,,,,0.90,?
