x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,-0.1008E+01,0.02,0.2832E+00?,0.00,-0.4726E+00,0.01,0.8412E-01,0.00,-0.9943E+00
0.03,0.3785E+00,0.06,,0.01,0.5241E-01,0.03,0.3472E+00,0.02,0.3722E+00
0.12,0.4303E+00,0.10,0.4672E+00,0.04,0.5195E+00,0.04,0.3823E+00,0.07,0.5019E+00
0.26,0.3578E+00,0.15,,0.07,0.4616E+00,0.06,0.4208E+00,0.12,0.4545E+00
0.47,0.2440E+00,0.19,0.4316E+00?,0.09,0.4864E+00?,0.10,0.4559E+00,0.15,0.4418E+00
0.69,0.1301E+00,0.23,0.4077E+00,0.13,0.4823E+00,0.13,0.4524E+00,0.19,0.4070E+00
0.83,0.4734E-01,0.29,0.3782E+00,0.17,0.4740E+00,0.17,0.4415E+00,0.23,0.3786E+00
,,0.33,0.3604E+00?,,0.4451E+00,0.21,0.4138E+00,0.29,0.3185E+00
,,0.39,0.2832E+00,,0.4203E+00,0.26,0.3612E+00,0.33,0.2742E+00
,,0.44,0.2832E+00,0.30,0.3707E+00,0.30,0.3294E+00,0.39,0.2362E+00
,,0.52,0.2298E+00,0.35,0.3542E+00,0.35,0.3016E+00,0.44,0.2172E+00
,,0.61,0.1705E+00,0.42,0.3170E+00,0.42,0.2490E+00,0.50,0.1983E+00
,,0.73,0.1230E+00?,0.30?,0.2384E+00,0.47,0.2779E+00?,0.61,0.1445E+00
,,0.80,0.4956E-01,0.54,0.2136E+00,0.52,0.1524E+00?,0.69,0.1045E+00
,,,,0.40,0.1599E+00,0.60,0.1192E+00,0.76,0.7173E-01
,,,,0.76,0.9375E-01,0.73,0.7710E-01,0.90,-0.2001E-01
,,,,0.90,-0.2613E-01,0.80,0.3501E-01,,
,,,,,,0.87,-0.1760E-01,,
