x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,-0.4714E+00,0.02,,0.09?,0.1266E+01,0.01,0.2241E+01,1.00?,-0.3209E+00
0.03,0.1421E+01,0.06,0.1369E+01,0.01,0.2033E+01,0.03,0.2127E+01,0.02,0.1907E+01
0.12,0.8578E+00?,0.10,0.1084E+01?,0.04,,0.04,0.1977E+01,0.07,0.1326E+01
0.24?,0.6048E+00,0.15,,0.07,0.1342E+00,,0.1411E+01,0.12,0.8832E+00
0.47,0.3922E+00?,0.19,0.8242E+00,0.09,0.1224E+01,0.10,0.1153E+01,0.15,0.8032E+00
0.69,0.2217E+00,0.23,0.7334E+00,0.13,0.1049E+01,0.13,0.1017E+01,0.19,0.6785E+00
0.83,0.8967E-01,0.29,,0.17,0.5861E+00,0.17,0.9008E+00,0.23,0.3567E+00?
,,0.33,0.5810E+00,0.21,0.3544E+00,0.21,0.7768E+00,0.29,0.4658E+00
,,0.39,0.4675E+00?,0.24,0.7504E+00,0.26,0.4228E+00,0.33,0.4126E+00?
,,0.44,0.4350E+00?,0.30,0.6090E-01?,0.00,0.5529E+00?,,0.3539E+00
,,0.52,,0.35,0.5455E+00,0.35,0.4649E+00,0.44,0.3171E+00
,,0.61,,0.42,0.4754E+00,0.42,0.3949E+00,0.50,0.2879E+00
,,0.73,0.1457E+00,0.50,0.3737E+00,0.47,0.3339E+00,0.61,0.2201E+00
,,0.80,0.1010E+00,0.56,0.3136E+00,0.52,0.2689E+00,0.69,0.1724E+00
,,,,0.65,,0.65,0.1589E+00,0.76,0.1339E+00
,,,,0.76,0.1172E+00,0.73,0.9292E-01,0.90,0.1100E-01
,,,,0.90,-0.2835E-01,0.80,0.2693E-01,,
,,,,,,0.87,-0.3907E-01?,,
