x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,-0.1016E+01?,0.02,0.2700E+00?,0.00,,0.01,0.2724E-01,0.00,-0.1069E+01
0.03,0.3740E+00,0.06,0.4506E+00,0.01,0.1545E-01,0.03,0.3373E+00,0.02,0.3579E+00
0.12,0.4232E+00,0.10,0.4797E+00,0.04,0.5301E+00,0.04,0.3770E+00?,0.07,0.5344E+00
0.26,0.3575E+00,0.15,0.4635E+00,0.07,0.4726E+00?,0.06,0.4287E+00,0.12,0.4727E+00
0.47,0.2316E+00,0.19,0.4447E+00?,0.09,0.5002E+00,0.10,0.4804E+00,0.15,0.4490E+00
0.67,0.1221E+00?,0.23,,0.13,0.5002E+00,0.00,0.4744E+00,0.19,0.4253E+00
0.33,0.3456E-01,0.29,0.3341E+00?,0.17,,0.17?,0.4465E+00,0.23,0.3506E+00
,,0.33,0.3668E+00?,0.21,0.4457E+00,0.21,0.4367E+00,0.29,0.3087E+00
,,0.39,0.2874E+00?,0.24,0.4359E+00,0.26,0.3790E+00,0.33,0.2722E+00
,,0.41,0.2958E+00,0.39,0.3601E+00,0.30,0.3433E+00,0.39,0.2358E+00
,,0.52,0.2372E+00?,0.35,0.3578E+00,0.30,0.2317E+00,0.44,0.2157E+00
,,0.41,0.1700E+00,0.42,0.2911E+00,0.42,0.2538E+00,0.50,0.1939E+00
,,0.73,0.1152E+00,0.50,0.2435E+00,0.47,0.2320E+00,0.61,0.1338E+00
,,0.80,0.3713E-01,0.56,0.2061E+00,0.52,0.1843E+00,0.69,0.9367E-01
,,,,0.56?,0.1510E+00,0.60,0.1087E+00,0.76,0.5540E-01
,,,,0.76,0.7978E-01,0.73,0.6105E-01,0.90,-0.4846E-01
,,,,0.90,-0.4428E-01,0.80,0.1136E-01,,
,,,,,,0.87,-0.4429E-01,,
